station,valid,tmpf,tmpc,relh,sknt,p01m
SBVT,2010-01-03 03:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-03 04:00,78.80,26.00,78.62,0.00,null
SBVT,2010-01-03 05:00,77.00,25.00,83.44,4.00,null
SBVT,2010-01-03 06:00,76.28,24.60,84.94,4.00,null
SBVT,2010-01-03 07:00,75.20,24.00,83.32,2.00,null
SBVT,2010-01-03 08:00,75.20,24.00,83.32,2.00,null
SBVT,2010-01-03 09:00,75.20,24.00,78.34,4.00,null
SBVT,2010-01-03 10:00,78.80,26.00,78.62,5.00,null
SBVT,2010-01-03 11:00,84.20,29.00,65.95,6.00,null
SBVT,2010-01-03 12:00,86.54,30.30,60.07,8.00,null
SBVT,2010-01-03 13:00,87.80,31.00,55.29,8.00,null
SBVT,2010-01-03 14:00,89.60,32.00,52.23,10.00,null
SBVT,2010-01-03 15:00,93.20,34.00,52.73,13.00,null
SBVT,2010-01-03 16:00,91.40,33.00,55.77,16.00,null
SBVT,2010-01-03 17:00,91.40,33.00,59.24,15.00,null
SBVT,2010-01-03 18:00,89.60,32.00,60.82,14.00,null
SBVT,2010-01-03 19:00,89.60,32.00,62.68,12.00,null
SBVT,2010-01-03 20:00,87.80,31.00,66.35,15.00,null
SBVT,2010-01-03 21:00,84.20,29.00,70.08,14.00,null
SBVT,2010-01-03 22:00,82.40,28.00,74.28,12.00,null
SBVT,2010-01-03 23:00,80.60,27.00,78.76,10.00,null
SBVT,2010-01-04 00:00,80.96,27.20,76.44,8.00,null
SBVT,2010-01-04 01:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-04 02:00,78.80,26.00,83.55,8.00,null
SBVT,2010-01-04 03:00,78.80,26.00,83.55,8.00,null
SBVT,2010-01-04 04:00,78.80,26.00,83.55,10.00,null
SBVT,2010-01-04 05:00,78.80,26.00,83.55,6.00,null
SBVT,2010-01-04 06:00,77.90,25.50,88.17,7.00,null
SBVT,2010-01-04 07:00,75.20,24.00,88.59,4.00,null
SBVT,2010-01-04 08:00,75.20,24.00,88.59,0.00,null
SBVT,2010-01-04 09:00,80.60,27.00,74.11,0.00,null
SBVT,2010-01-04 10:00,84.20,29.00,62.03,6.00,null
SBVT,2010-01-04 11:00,87.80,31.00,55.29,6.00,null
SBVT,2010-01-04 12:00,89.96,32.20,45.62,8.00,null
SBVT,2010-01-04 13:00,93.20,34.00,43.88,6.00,null
SBVT,2010-01-04 14:00,91.40,33.00,52.48,14.00,null
SBVT,2010-01-04 15:00,93.20,34.00,46.67,8.00,null
SBVT,2010-01-04 16:00,89.60,32.00,66.55,14.00,null
SBVT,2010-01-04 17:00,89.60,32.00,62.68,18.00,null
SBVT,2010-01-04 18:00,87.80,31.00,60.60,18.00,null
SBVT,2010-01-04 19:00,87.80,31.00,62.47,18.00,null
SBVT,2010-01-04 20:00,87.80,31.00,66.35,18.00,null
SBVT,2010-01-04 21:00,84.20,29.00,74.44,14.00,null
SBVT,2010-01-04 22:00,82.40,28.00,78.90,12.00,null
SBVT,2010-01-04 23:00,80.60,27.00,83.66,12.00,null
SBVT,2010-01-05 00:00,80.60,27.00,82.16,8.00,null
SBVT,2010-01-05 01:00,80.60,27.00,83.66,8.00,null
SBVT,2010-01-05 02:00,80.60,27.00,83.66,6.00,null
SBVT,2010-01-05 03:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-05 04:00,80.60,27.00,78.76,8.00,null
SBVT,2010-01-05 05:00,78.80,26.00,83.55,4.00,null
SBVT,2010-01-05 06:00,78.08,25.60,83.00,4.00,null
SBVT,2010-01-05 07:00,77.00,25.00,83.44,4.00,null
SBVT,2010-01-05 08:00,77.00,25.00,83.44,2.00,null
SBVT,2010-01-05 09:00,78.80,26.00,78.62,2.00,null
SBVT,2010-01-05 10:00,82.40,28.00,69.90,4.00,null
SBVT,2010-01-05 11:00,82.40,28.00,69.90,8.00,null
SBVT,2010-01-05 12:00,85.64,29.80,62.59,10.00,null
SBVT,2010-01-05 13:00,87.80,31.00,55.29,12.00,null
SBVT,2010-01-05 14:00,89.60,32.00,52.23,12.00,null
SBVT,2010-01-05 15:00,93.20,34.00,52.73,15.00,null
SBVT,2010-01-05 16:00,89.60,32.00,55.53,16.00,null
SBVT,2010-01-05 17:00,87.80,31.00,58.78,20.00,null
SBVT,2010-01-05 18:00,86.00,30.00,61.87,22.00,null
SBVT,2010-01-05 19:00,86.00,30.00,62.25,20.00,null
SBVT,2010-01-05 20:00,86.00,30.00,62.25,16.00,null
SBVT,2010-01-05 21:00,84.20,29.00,65.95,16.00,null
SBVT,2010-01-05 22:00,82.40,28.00,74.28,20.00,null
SBVT,2010-01-05 23:00,80.60,27.00,78.76,12.00,null
SBVT,2010-01-06 00:00,80.60,27.00,77.81,8.00,null
SBVT,2010-01-06 01:00,80.60,27.00,83.66,8.00,null
SBVT,2010-01-06 02:00,78.80,26.00,83.55,8.00,null
SBVT,2010-01-06 03:00,80.60,27.00,78.76,8.00,null
SBVT,2010-01-06 04:00,80.60,27.00,78.76,10.00,null
SBVT,2010-01-06 05:00,80.60,27.00,78.76,12.00,null
SBVT,2010-01-06 06:00,80.24,26.80,73.63,8.00,null
SBVT,2010-01-06 07:00,80.60,27.00,69.71,8.00,null
SBVT,2010-01-06 08:00,80.60,27.00,69.71,10.00,null
SBVT,2010-01-06 09:00,80.60,27.00,69.71,5.00,null
SBVT,2010-01-06 10:00,82.40,28.00,69.90,6.00,null
SBVT,2010-01-06 11:00,84.20,29.00,65.95,12.00,null
SBVT,2010-01-06 12:00,86.00,30.00,60.37,14.00,null
SBVT,2010-01-06 13:00,89.60,32.00,55.53,16.00,null
SBVT,2010-01-06 14:00,89.60,32.00,59.01,16.00,null
SBVT,2010-01-06 15:00,91.40,33.00,59.24,12.00,null
SBVT,2010-01-06 16:00,89.60,32.00,59.01,18.00,null
SBVT,2010-01-06 17:00,87.80,31.00,62.47,20.00,null
SBVT,2010-01-06 18:00,87.26,30.70,62.78,26.00,null
SBVT,2010-01-06 19:00,86.00,30.00,58.55,20.00,null
SBVT,2010-01-06 20:00,86.00,30.00,55.04,18.00,null
SBVT,2010-01-06 21:00,82.40,28.00,61.81,22.00,null
SBVT,2010-01-06 22:00,82.40,28.00,65.74,12.00,null
SBVT,2010-01-06 23:00,82.40,28.00,69.90,8.00,null
SBVT,2010-01-07 00:00,80.60,27.00,69.71,8.00,null
SBVT,2010-01-07 01:00,80.60,27.00,69.71,12.00,null
SBVT,2010-01-07 02:00,78.80,26.00,78.62,13.00,null
SBVT,2010-01-07 03:00,80.60,27.00,69.71,10.00,null
SBVT,2010-01-07 04:00,80.60,27.00,65.54,11.00,null
SBVT,2010-01-07 05:00,80.60,27.00,65.54,10.00,null
SBVT,2010-01-07 06:00,79.70,26.50,64.62,12.00,null
SBVT,2010-01-07 07:00,78.80,26.00,69.52,9.00,null
SBVT,2010-01-07 08:00,77.00,25.00,78.48,15.00,null
SBVT,2010-01-07 09:00,78.80,26.00,69.52,13.00,null
SBVT,2010-01-07 10:00,82.40,28.00,65.74,14.00,null
SBVT,2010-01-07 11:00,86.00,30.00,62.25,14.00,null
SBVT,2010-01-07 12:00,87.62,30.90,59.48,14.00,null
SBVT,2010-01-07 13:00,89.60,32.00,55.53,14.00,null
SBVT,2010-01-07 14:00,89.60,32.00,55.53,16.00,null
SBVT,2010-01-07 15:00,93.20,34.00,49.62,18.00,null
SBVT,2010-01-07 16:00,93.20,34.00,56.01,22.00,null
SBVT,2010-01-07 17:00,91.40,33.00,52.48,28.00,null
SBVT,2010-01-07 18:00,88.70,31.50,58.90,20.00,null
SBVT,2010-01-07 19:00,87.80,31.00,62.47,26.00,null
SBVT,2010-01-07 20:00,86.00,30.00,66.15,20.00,null
SBVT,2010-01-07 21:00,84.20,29.00,74.44,18.00,null
SBVT,2010-01-07 22:00,80.60,27.00,78.76,21.00,null
SBVT,2010-01-07 23:00,80.60,27.00,78.76,13.00,null
SBVT,2010-01-08 00:00,79.70,26.50,82.10,9.00,null
SBVT,2010-01-08 01:00,78.80,26.00,83.55,6.00,null
SBVT,2010-01-08 02:00,78.80,26.00,83.55,5.00,null
SBVT,2010-01-08 03:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-08 04:00,80.60,27.00,78.76,8.00,null
SBVT,2010-01-08 05:00,78.80,26.00,83.55,8.00,null
SBVT,2010-01-08 06:00,77.54,25.30,86.57,14.00,null
SBVT,2010-01-08 07:00,77.00,25.00,88.67,10.00,null
SBVT,2010-01-08 08:00,77.00,25.00,83.44,10.00,null
SBVT,2010-01-08 09:00,80.60,27.00,74.11,10.00,null
SBVT,2010-01-08 10:00,84.20,29.00,65.95,10.00,null
SBVT,2010-01-08 11:00,86.00,30.00,66.15,8.00,null
SBVT,2010-01-08 12:00,86.72,30.40,58.64,8.00,null
SBVT,2010-01-08 13:00,87.80,31.00,55.29,8.00,null
SBVT,2010-01-08 14:00,91.40,33.00,52.48,14.00,null
SBVT,2010-01-08 15:00,91.40,33.00,52.48,18.00,null
SBVT,2010-01-08 16:00,89.60,32.00,55.53,16.00,null
SBVT,2010-01-08 17:00,91.40,33.00,49.36,16.00,null
SBVT,2010-01-08 18:00,90.32,32.40,52.98,20.00,null
SBVT,2010-01-08 19:00,87.80,31.00,58.78,20.00,null
SBVT,2010-01-08 20:00,86.00,30.00,70.27,13.00,null
SBVT,2010-01-08 21:00,84.20,29.00,70.08,14.00,null
SBVT,2010-01-08 22:00,82.40,28.00,74.28,13.00,null
SBVT,2010-01-08 23:00,80.60,27.00,78.76,14.00,null
SBVT,2010-01-09 00:00,79.16,26.20,84.08,8.00,null
SBVT,2010-01-09 01:00,78.80,26.00,83.55,8.00,null
SBVT,2010-01-09 02:00,78.80,26.00,83.55,6.00,null
SBVT,2010-01-09 03:00,78.80,26.00,83.55,5.00,null
SBVT,2010-01-09 04:00,78.80,26.00,83.55,8.00,null
SBVT,2010-01-09 05:00,78.80,26.00,88.75,8.00,null
SBVT,2010-01-09 06:00,78.26,25.70,89.26,3.00,null
SBVT,2010-01-09 07:00,78.80,26.00,88.75,4.00,null
SBVT,2010-01-09 08:00,78.80,26.00,83.55,2.00,null
SBVT,2010-01-09 09:00,78.80,26.00,88.75,2.00,null
SBVT,2010-01-09 10:00,82.40,28.00,78.90,10.00,null
SBVT,2010-01-09 11:00,84.20,29.00,74.44,12.00,null
SBVT,2010-01-09 12:00,86.00,30.00,63.40,8.00,null
SBVT,2010-01-09 13:00,89.60,32.00,55.53,14.00,null
SBVT,2010-01-09 14:00,89.60,32.00,52.23,10.00,null
SBVT,2010-01-09 15:00,91.40,33.00,49.36,10.00,null
SBVT,2010-01-09 16:00,91.40,33.00,52.48,14.00,null
SBVT,2010-01-09 17:00,89.60,32.00,55.53,13.00,null
SBVT,2010-01-09 18:00,89.24,31.80,57.90,14.00,null
SBVT,2010-01-09 19:00,87.80,31.00,62.47,13.00,null
SBVT,2010-01-09 20:00,86.00,30.00,62.25,13.00,null
SBVT,2010-01-09 21:00,84.20,29.00,62.03,11.00,null
SBVT,2010-01-09 22:00,82.40,28.00,69.90,10.00,null
SBVT,2010-01-09 23:00,82.40,28.00,69.90,8.00,null
SBVT,2010-01-10 00:00,81.14,27.30,73.71,5.00,null
SBVT,2010-01-10 01:00,80.60,27.00,74.11,4.00,null
SBVT,2010-01-10 02:00,80.60,27.00,74.11,4.00,null
SBVT,2010-01-10 03:00,78.80,26.00,78.62,0.00,null
SBVT,2010-01-10 04:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-10 05:00,77.00,25.00,88.67,2.00,null
SBVT,2010-01-10 06:00,76.64,24.80,86.00,3.00,null
SBVT,2010-01-10 07:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-10 08:00,75.20,24.00,88.59,0.00,null
SBVT,2010-01-10 09:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-10 10:00,80.60,27.00,78.76,0.00,null
SBVT,2010-01-10 11:00,84.20,29.00,70.08,7.00,null
SBVT,2010-01-10 12:00,85.82,29.90,62.99,9.00,null
SBVT,2010-01-10 13:00,86.00,30.00,66.15,4.00,null
SBVT,2010-01-10 14:00,91.40,33.00,52.48,16.00,null
SBVT,2010-01-10 15:00,93.20,34.00,31.99,18.00,null
SBVT,2010-01-10 16:00,91.40,33.00,40.96,14.00,null
SBVT,2010-01-10 17:00,93.20,34.00,38.73,12.00,null
SBVT,2010-01-10 18:00,91.76,33.20,41.27,12.00,null
SBVT,2010-01-10 19:00,89.60,32.00,46.14,14.00,null
SBVT,2010-01-10 20:00,87.80,31.00,48.84,14.00,null
SBVT,2010-01-10 21:00,86.00,30.00,58.55,14.00,null
SBVT,2010-01-10 22:00,82.40,28.00,69.90,12.00,null
SBVT,2010-01-10 23:00,82.40,28.00,69.90,10.00,null
SBVT,2010-01-11 00:00,81.14,27.30,75.07,9.00,null
SBVT,2010-01-11 01:00,80.60,27.00,78.76,5.00,null
SBVT,2010-01-11 02:00,80.60,27.00,78.76,3.00,null
SBVT,2010-01-11 03:00,78.80,26.00,83.55,6.00,null
SBVT,2010-01-11 04:00,78.80,26.00,83.55,0.00,null
SBVT,2010-01-11 05:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-11 06:00,76.46,24.70,85.99,3.00,null
SBVT,2010-01-11 07:00,77.00,25.00,83.44,2.00,null
SBVT,2010-01-11 08:00,75.20,24.00,88.59,0.00,null
SBVT,2010-01-11 09:00,78.80,26.00,78.62,0.00,null
SBVT,2010-01-11 10:00,84.20,29.00,62.03,2.00,null
SBVT,2010-01-11 11:00,86.00,30.00,58.55,10.00,null
SBVT,2010-01-11 12:00,88.16,31.20,52.35,12.00,null
SBVT,2010-01-11 13:00,89.60,32.00,52.23,15.00,null
SBVT,2010-01-11 14:00,93.20,34.00,38.73,12.00,null
SBVT,2010-01-11 15:00,93.20,34.00,46.67,18.00,null
SBVT,2010-01-11 16:00,93.20,34.00,52.73,14.00,null
SBVT,2010-01-11 17:00,93.20,34.00,52.73,22.00,null
SBVT,2010-01-11 18:00,91.76,33.20,56.16,22.00,null
SBVT,2010-01-11 19:00,91.40,33.00,59.24,26.00,null
SBVT,2010-01-11 20:00,89.60,32.00,62.68,22.00,null
SBVT,2010-01-11 21:00,86.00,30.00,66.15,18.00,null
SBVT,2010-01-11 22:00,82.40,28.00,74.28,22.00,null
SBVT,2010-01-11 23:00,82.40,28.00,61.81,13.00,null
SBVT,2010-01-12 00:00,80.96,27.20,77.84,5.00,null
SBVT,2010-01-12 01:00,80.60,27.00,78.76,10.00,null
SBVT,2010-01-12 02:00,80.60,27.00,78.76,8.00,null
SBVT,2010-01-12 03:00,80.60,27.00,69.71,8.00,null
SBVT,2010-01-12 04:00,80.60,27.00,65.54,9.00,null
SBVT,2010-01-12 05:00,80.60,27.00,69.71,12.00,null
SBVT,2010-01-12 06:00,79.16,26.20,69.13,6.00,null
SBVT,2010-01-12 07:00,78.80,26.00,69.52,4.00,null
SBVT,2010-01-12 08:00,78.80,26.00,65.33,4.00,null
SBVT,2010-01-12 09:00,80.60,27.00,61.58,6.00,null
SBVT,2010-01-12 10:00,84.20,29.00,58.32,10.00,null
SBVT,2010-01-12 11:00,86.00,30.00,55.04,10.00,null
SBVT,2010-01-12 12:00,89.06,31.70,51.83,14.00,null
SBVT,2010-01-12 13:00,91.40,33.00,43.61,12.00,null
SBVT,2010-01-12 14:00,93.20,34.00,43.88,12.00,null
SBVT,2010-01-12 15:00,91.40,33.00,49.36,17.00,null
SBVT,2010-01-12 16:00,91.40,33.00,59.24,18.00,null
SBVT,2010-01-12 17:00,91.40,33.00,59.24,20.00,null
SBVT,2010-01-12 18:00,87.80,31.00,64.00,24.00,null
SBVT,2010-01-12 19:00,87.80,31.00,66.35,26.00,null
SBVT,2010-01-12 20:00,86.00,30.00,70.27,25.00,null
SBVT,2010-01-12 21:00,84.20,29.00,74.44,28.00,null
SBVT,2010-01-12 22:00,84.20,29.00,70.08,28.00,null
SBVT,2010-01-12 23:00,80.60,27.00,78.76,12.00,null
SBVT,2010-01-13 00:00,80.24,26.80,79.21,8.00,null
SBVT,2010-01-13 01:00,80.60,27.00,78.76,2.00,null
SBVT,2010-01-13 02:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-13 03:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-13 04:00,80.60,27.00,78.76,10.00,null
SBVT,2010-01-13 05:00,80.60,27.00,74.11,8.00,null
SBVT,2010-01-13 06:00,79.70,26.50,76.80,6.00,null
SBVT,2010-01-13 07:00,78.80,26.00,78.62,8.00,null
SBVT,2010-01-13 08:00,78.80,26.00,83.55,6.00,null
SBVT,2010-01-13 09:00,80.60,27.00,74.11,6.00,null
SBVT,2010-01-13 10:00,84.20,29.00,65.95,8.00,null
SBVT,2010-01-13 11:00,87.80,31.00,62.47,12.00,null
SBVT,2010-01-13 12:00,86.36,30.20,61.91,11.00,null
SBVT,2010-01-13 13:00,89.60,32.00,55.53,14.00,null
SBVT,2010-01-13 14:00,91.40,33.00,52.48,12.00,null
SBVT,2010-01-13 15:00,93.20,34.00,52.73,16.00,null
SBVT,2010-01-13 16:00,95.00,35.00,49.87,16.00,null
SBVT,2010-01-13 17:00,91.40,33.00,55.77,20.00,null
SBVT,2010-01-13 18:00,89.60,32.00,61.93,22.00,null
SBVT,2010-01-13 19:00,86.00,30.00,66.15,22.00,null
SBVT,2010-01-13 20:00,86.00,30.00,74.61,22.00,null
SBVT,2010-01-13 21:00,84.20,29.00,79.04,16.00,null
SBVT,2010-01-13 22:00,82.40,28.00,78.90,16.00,null
SBVT,2010-01-13 23:00,82.40,28.00,78.90,12.00,null
SBVT,2010-01-14 00:00,80.60,27.00,80.69,10.00,null
SBVT,2010-01-14 01:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-14 02:00,80.60,27.00,83.66,6.00,null
SBVT,2010-01-14 03:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-14 04:00,80.60,27.00,78.76,7.00,null
SBVT,2010-01-14 05:00,78.80,26.00,83.55,5.00,null
SBVT,2010-01-14 06:00,78.44,25.80,82.52,6.00,null
SBVT,2010-01-14 07:00,78.80,26.00,83.55,3.00,null
SBVT,2010-01-14 08:00,78.80,26.00,78.62,6.00,null
SBVT,2010-01-14 09:00,78.80,26.00,83.55,6.00,null
SBVT,2010-01-14 10:00,82.40,28.00,74.28,6.00,null
SBVT,2010-01-14 11:00,86.00,30.00,62.25,8.00,null
SBVT,2010-01-14 12:00,88.52,31.40,59.23,12.00,null
SBVT,2010-01-14 13:00,89.60,32.00,62.68,18.00,null
SBVT,2010-01-14 14:00,93.20,34.00,49.62,16.00,null
SBVT,2010-01-14 15:00,93.20,34.00,52.73,18.00,null
SBVT,2010-01-14 16:00,91.40,33.00,55.77,22.00,null
SBVT,2010-01-14 17:00,89.60,32.00,59.01,20.00,null
SBVT,2010-01-14 18:00,88.88,31.60,60.00,24.00,null
SBVT,2010-01-14 19:00,87.80,31.00,62.47,28.00,null
SBVT,2010-01-14 20:00,86.00,30.00,62.25,20.00,null
SBVT,2010-01-14 21:00,84.20,29.00,62.03,20.00,null
SBVT,2010-01-14 22:00,82.40,28.00,61.81,20.00,null
SBVT,2010-01-14 23:00,82.40,28.00,61.81,6.00,null
SBVT,2010-01-15 00:00,82.22,27.90,62.17,7.00,null
SBVT,2010-01-15 01:00,82.40,28.00,61.81,10.00,null
SBVT,2010-01-15 02:00,82.40,28.00,65.74,12.00,null
SBVT,2010-01-15 03:00,80.60,27.00,83.66,6.00,null
SBVT,2010-01-15 04:00,80.60,27.00,83.66,10.00,null
SBVT,2010-01-15 05:00,80.60,27.00,83.66,6.00,null
SBVT,2010-01-15 06:00,79.52,26.40,90.93,8.00,null
SBVT,2010-01-15 07:00,78.80,26.00,94.23,10.00,null
SBVT,2010-01-15 08:00,78.80,26.00,78.62,6.00,null
SBVT,2010-01-15 09:00,80.60,27.00,78.76,6.00,null
SBVT,2010-01-15 10:00,84.20,29.00,70.08,8.00,null
SBVT,2010-01-15 11:00,86.00,30.00,62.25,10.00,null
SBVT,2010-01-15 12:00,89.42,31.90,54.16,12.00,null
SBVT,2010-01-15 13:00,91.40,33.00,52.48,8.00,null
SBVT,2010-01-15 14:00,93.20,34.00,52.73,10.00,null
SBVT,2010-01-15 15:00,93.20,34.00,52.73,12.00,null
SBVT,2010-01-15 16:00,87.80,31.00,62.47,10.00,null
SBVT,2010-01-15 17:00,87.80,31.00,58.78,10.00,null
SBVT,2010-01-15 18:00,87.80,31.00,55.63,10.00,null
SBVT,2010-01-15 19:00,84.20,29.00,65.95,10.00,null
SBVT,2010-01-15 20:00,82.40,28.00,74.28,8.00,null
SBVT,2010-01-15 21:00,80.60,27.00,74.11,2.00,null
SBVT,2010-01-15 22:00,80.60,27.00,74.11,2.00,null
SBVT,2010-01-15 23:00,80.60,27.00,74.11,5.00,null
SBVT,2010-01-16 00:00,80.96,27.20,80.23,0.00,null
SBVT,2010-01-16 01:00,80.60,27.00,83.66,0.00,null
SBVT,2010-01-16 02:00,80.60,27.00,83.66,0.00,null
SBVT,2010-01-16 03:00,78.80,26.00,78.62,0.00,null
SBVT,2010-01-16 04:00,78.80,26.00,83.55,0.00,null
SBVT,2010-01-16 05:00,78.80,26.00,83.55,0.00,null
SBVT,2010-01-16 06:00,78.44,25.80,81.52,4.00,null
SBVT,2010-01-16 07:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-16 08:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-16 09:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-16 10:00,80.60,27.00,74.11,4.00,null
SBVT,2010-01-16 11:00,84.20,29.00,70.08,5.00,null
SBVT,2010-01-16 12:00,86.72,30.40,63.10,6.00,null
SBVT,2010-01-16 13:00,89.60,32.00,55.53,6.00,null
SBVT,2010-01-16 14:00,87.80,31.00,62.47,6.00,null
SBVT,2010-01-16 15:00,89.60,32.00,59.01,14.00,null
SBVT,2010-01-16 16:00,89.60,32.00,55.53,16.00,null
SBVT,2010-01-16 17:00,89.60,32.00,55.53,18.00,null
SBVT,2010-01-16 18:00,88.16,31.20,57.41,8.00,null
SBVT,2010-01-16 19:00,87.80,31.00,55.29,12.00,null
SBVT,2010-01-16 20:00,86.00,30.00,58.55,14.00,null
SBVT,2010-01-16 21:00,84.20,29.00,62.03,10.00,null
SBVT,2010-01-16 22:00,82.40,28.00,74.28,9.00,null
SBVT,2010-01-16 23:00,80.60,27.00,88.83,8.00,null
SBVT,2010-01-17 00:00,80.96,27.20,85.20,8.00,null
SBVT,2010-01-17 01:00,80.60,27.00,83.66,2.00,null
SBVT,2010-01-17 02:00,80.60,27.00,83.66,0.00,null
SBVT,2010-01-17 03:00,78.80,26.00,83.55,0.00,null
SBVT,2010-01-17 04:00,78.80,26.00,78.62,0.00,null
SBVT,2010-01-17 05:00,77.00,25.00,88.67,2.00,null
SBVT,2010-01-17 06:00,76.64,24.80,84.96,2.00,null
SBVT,2010-01-17 07:00,77.00,25.00,83.44,2.00,null
SBVT,2010-01-17 08:00,75.20,24.00,83.32,0.00,null
SBVT,2010-01-17 09:00,77.00,25.00,83.44,0.00,null
SBVT,2010-01-17 10:00,80.60,27.00,74.11,5.00,null
SBVT,2010-01-17 11:00,84.20,29.00,65.95,6.00,null
SBVT,2010-01-17 12:00,87.44,30.80,59.82,8.00,null
SBVT,2010-01-17 13:00,91.40,33.00,52.48,10.00,null
SBVT,2010-01-17 14:00,91.40,33.00,52.48,12.00,null
SBVT,2010-01-17 15:00,91.40,33.00,49.36,18.00,null
SBVT,2010-01-17 16:00,89.60,32.00,52.23,16.00,null
SBVT,2010-01-17 17:00,89.60,32.00,55.53,20.00,null
SBVT,2010-01-17 18:00,89.78,32.10,56.92,17.00,null
SBVT,2010-01-17 19:00,87.80,31.00,62.47,18.00,null
SBVT,2010-01-17 20:00,86.00,30.00,66.15,15.00,null
SBVT,2010-01-17 21:00,84.20,29.00,79.04,20.00,null
SBVT,2010-01-17 22:00,82.40,28.00,78.90,6.00,null
SBVT,2010-01-17 23:00,80.60,27.00,83.66,10.00,null
SBVT,2010-01-18 00:00,80.60,27.00,82.16,6.00,null
SBVT,2010-01-18 01:00,80.60,27.00,83.66,4.00,null
